Profil 1             Profil 2             Profil 3             
x       y           x       y           x       y           
[m]     [m]         [m]     [m]         [m]     [m]         
0  -6,4190315e-08            0  -6,4296017e-08            0  -6,4936246e-08            
2,3415349e-09  -6,4186218e-08            2,34405e-09  -6,4316404e-08            2,3318741e-09  -6,493557e-08            
4,6830697e-09  -6,4177161e-08            4,6881e-09  -6,4317972e-08            4,6637483e-09  -6,4964174e-08            
7,0246046e-09  -6,4143885e-08            7,0321499e-09  -6,4317415e-08            6,9956224e-09  -6,4970073e-08            
9,3661395e-09  -6,413859e-08            9,3761999e-09  -6,4329409e-08            9,3274965e-09  -6,496879e-08            
1,1707674e-08  -6,4150536e-08            1,172025e-08  -6,4318959e-08            1,1659371e-08  -6,4969744e-08            
1,4049209e-08  -6,4158953e-08            1,40643e-08  -6,4297968e-08            1,3991245e-08  -6,4972747e-08            
1,6390744e-08  -6,414743e-08            1,640835e-08  -6,4285281e-08            1,6323119e-08  -6,4976628e-08            
1,8732279e-08  -6,4145974e-08            1,87524e-08  -6,4281853e-08            1,8654993e-08  -6,4981776e-08            
2,1073814e-08  -6,4160541e-08            2,109645e-08  -6,4288306e-08            2,0986867e-08  -6,497834e-08            
2,3415349e-08  -6,417868e-08            2,34405e-08  -6,4295833e-08            2,3318741e-08  -6,4979855e-08            
2,5756884e-08  -6,4193292e-08            2,578455e-08  -6,4312719e-08            2,5650615e-08  -6,4967892e-08            
2,8098418e-08  -6,4164228e-08            2,81286e-08  -6,4298432e-08            2,798249e-08  -6,4977562e-08            
3,0439953e-08  -6,4142256e-08            3,047265e-08  -6,4274498e-08            3,0314364e-08  -6,4975122e-08            
3,2781488e-08  -6,4131058e-08            3,28167e-08  -6,4288475e-08            3,2646238e-08  -6,4974553e-08            
3,5123023e-08  -6,4121317e-08            3,516075e-08  -6,4294393e-08            3,4978112e-08  -6,4991951e-08            
3,7464558e-08  -6,4132303e-08            3,75048e-08  -6,4296309e-08            3,7309986e-08  -6,5007498e-08            
3,9806093e-08  -6,4132936e-08            3,984885e-08  -6,4300348e-08            3,964186e-08  -6,5009303e-08            
4,2147628e-08  -6,4123451e-08            4,21929e-08  -6,4294275e-08            4,1973734e-08  -6,5003832e-08            
4,4489163e-08  -6,4140561e-08            4,453695e-08  -6,4306987e-08            4,4305608e-08  -6,5007615e-08            
4,6830697e-08  -6,4161969e-08            4,6881e-08  -6,4310083e-08            4,6637483e-08  -6,5008845e-08            
4,9172232e-08  -6,4148832e-08            4,922505e-08  -6,4300298e-08            4,8969357e-08  -6,5007235e-08            
5,1513767e-08  -6,414873e-08            5,15691e-08  -6,4281979e-08            5,1301231e-08  -6,50047e-08            
5,3855302e-08  -6,4149203e-08            5,391315e-08  -6,4270644e-08            5,3633105e-08  -6,5009084e-08            
5,6196837e-08  -6,4131569e-08            5,62572e-08  -6,4289063e-08            5,5964979e-08  -6,5013385e-08            
5,8538372e-08  -6,4138223e-08            5,860125e-08  -6,4292985e-08            5,8296853e-08  -6,4996746e-08            
6,0879907e-08  -6,4159772e-08            6,09453e-08  -6,4293577e-08            6,0628727e-08  -6,5005456e-08            
6,3221441e-08  -6,4167884e-08            6,3289349e-08  -6,4289171e-08            6,2960602e-08  -6,5027781e-08            
6,5562976e-08  -6,4153773e-08            6,5633399e-08  -6,4293958e-08            6,5292476e-08  -6,5034806e-08            
6,7904511e-08  -6,4139865e-08            6,7977449e-08  -6,4290568e-08            6,762435e-08  -6,5058325e-08            
7,0246046e-08  -6,4174323e-08            7,0321499e-08  -6,4299665e-08            6,9956224e-08  -6,5110382e-08            
7,2587581e-08  -6,417989e-08            7,2665549e-08  -6,430257e-08            7,2288098e-08  -6,5273333e-08            
7,4929116e-08  -6,4188394e-08            7,5009599e-08  -6,4295424e-08            7,4619972e-08  -6,5614859e-08            
7,7270651e-08  -6,4182688e-08            7,7353649e-08  -6,4298676e-08            7,6951846e-08  -6,6142215e-08            
7,9612186e-08  -6,4194099e-08            7,9697699e-08  -6,4302055e-08            7,928372e-08  -6,6280331e-08            
8,195372e-08  -6,4200046e-08            8,2041749e-08  -6,4305852e-08            8,1615595e-08  -6,6275157e-08            
8,4295255e-08  -6,4175096e-08            8,4385799e-08  -6,429493e-08            8,3947469e-08  -6,6280072e-08            
8,663679e-08  -6,4158519e-08            8,6729849e-08  -6,4329322e-08            8,6279343e-08  -6,628515e-08            
8,8978325e-08  -6,4183949e-08            8,9073899e-08  -6,4329896e-08            8,8611217e-08  -6,6309333e-08            
9,131986e-08  -6,4223098e-08            9,1417949e-08  -6,446628e-08            9,0943091e-08  -6,6312722e-08            
9,3661395e-08  -6,4202412e-08            9,3761999e-08  -6,4597909e-08            9,3274965e-08  -6,6313291e-08            
9,600293e-08  -6,4233073e-08            9,6106049e-08  -6,4806817e-08            9,5606839e-08  -6,6318917e-08            
9,8344465e-08  -6,4481662e-08            9,8450099e-08  -6,5119022e-08            9,7938713e-08  -6,6330857e-08            
1,00686e-07  -6,4560891e-08            1,0079415e-07  -6,5500803e-08            1,0027059e-07  -6,6341933e-08            
1,0302753e-07  -6,4818684e-08            1,031382e-07  -6,554981e-08            1,0260246e-07  -6,6338921e-08            
1,0536907e-07  -6,5188177e-08            1,0548225e-07  -6,5540419e-08            1,0493434e-07  -6,6328253e-08            
1,077106e-07  -6,5429749e-08            1,078263e-07  -6,5540399e-08            1,0726621e-07  -6,6333723e-08            
1,1005214e-07  -6,5409433e-08            1,1017035e-07  -6,55464e-08            1,0959808e-07  -6,63426e-08            
1,1239367e-07  -6,5380426e-08            1,125144e-07  -6,5553301e-08            1,1192996e-07  -6,6343333e-08            
1,1473521e-07  -6,535841e-08            1,1485845e-07  -6,5553495e-08            1,1426183e-07  -6,6353999e-08            
1,1707674e-07  -6,5353151e-08            1,172025e-07  -6,5552959e-08            1,1659371e-07  -6,6346768e-08            
1,1941828e-07  -6,5356201e-08            1,1954655e-07  -6,5555401e-08            1,1892558e-07  -6,6344902e-08            
