Profil 1             Profil 1             
x       y           x       y           
[m]     [m]         [m]     [m]         
0  -7,6589701e-08            0  -7,6831209e-08            
7,8125e-10  -7,665443e-08            7,8125e-10  -7,6905975e-08            
1,5625e-09  -7,6715381e-08            1,5625e-09  -7,6982829e-08            
2,34375e-09  -7,6788115e-08            2,34375e-09  -7,7055349e-08            
3,125e-09  -7,6851762e-08            3,125e-09  -7,7161405e-08            
3,90625e-09  -7,6902552e-08            3,90625e-09  -7,7258903e-08            
4,6875e-09  -7,6993354e-08            4,6875e-09  -7,7381989e-08            
5,46875e-09  -7,7065726e-08            5,46875e-09  -7,7512893e-08            
6,25e-09  -7,7145949e-08            6,25e-09  -7,7658082e-08            
7,03125e-09  -7,7240043e-08            7,03125e-09  -7,7811477e-08            
7,8125e-09  -7,7334567e-08            7,8125e-09  -7,7992188e-08            
8,59375e-09  -7,7435326e-08            8,59375e-09  -7,8157521e-08            
9,375e-09  -7,7559683e-08            9,375e-09  -7,8350388e-08            
1,015625e-08  -7,7674357e-08            1,015625e-08  -7,8557558e-08            
1,09375e-08  -7,782179e-08            1,09375e-08  -7,8768739e-08            
1,171875e-08  -7,7979513e-08            1,171875e-08  -7,9009947e-08            
1,25e-08  -7,8135353e-08            1,25e-08  -7,9280198e-08            
1,328125e-08  -7,8303079e-08            1,328125e-08  -7,9541099e-08            
1,40625e-08  -7,8476315e-08            1,40625e-08  -7,982827e-08            
1,484375e-08  -7,867529e-08            1,484375e-08  -8,0092217e-08            
1,5625e-08  -7,8874753e-08            1,5625e-08  -8,0438777e-08            
1,640625e-08  -7,9089292e-08            1,640625e-08  -8,0393289e-08            
1,71875e-08  -7,9307608e-08            1,71875e-08  -8,0310579e-08            
1,796875e-08  -7,9530353e-08            1,796875e-08  -8,0242279e-08            
1,875e-08  -7,9766373e-08            1,875e-08  -8,0150905e-08            
1,953125e-08  -7,9985428e-08            1,953125e-08  -8,0004448e-08            
2,03125e-08  -8,0191459e-08            2,03125e-08  -7,9859451e-08            
2,109375e-08  -8,0366707e-08            2,109375e-08  -7,970695e-08            
2,1875e-08  -8,0467546e-08            2,1875e-08  -7,9555511e-08            
2,265625e-08  -8,0364187e-08            2,265625e-08  -7,9404949e-08            
2,34375e-08  -8,0268695e-08            2,34375e-08  -7,9265716e-08            
2,421875e-08  -8,0180983e-08            2,421875e-08  -7,9112463e-08            
2,5e-08  -8,0053858e-08            2,5e-08  -7,897165e-08            
2,578125e-08  -7,9864313e-08            2,578125e-08  -7,8835447e-08            
2,65625e-08  -7,9689819e-08            2,65625e-08  -7,8697236e-08            
2,734375e-08  -7,9527497e-08            2,734375e-08  -7,8564819e-08            
2,8125e-08  -7,938883e-08            2,8125e-08  -7,8403674e-08            
2,890625e-08  -7,9236103e-08            2,890625e-08  -7,8257026e-08            
2,96875e-08  -7,9082789e-08            2,96875e-08  -7,8106317e-08            
3,046875e-08  -7,894829e-08            3,046875e-08  -7,7989491e-08            
3,125e-08  -7,8796175e-08            3,125e-08  -7,7844323e-08            
3,203125e-08  -7,866116e-08            3,203125e-08  -7,7706443e-08            
3,28125e-08  -7,8534395e-08            3,28125e-08  -7,7552875e-08            
3,359375e-08  -7,8395484e-08            3,359375e-08  -7,7402731e-08            
3,4375e-08  -7,8244519e-08            3,4375e-08  -7,7249125e-08            
3,515625e-08  -7,8103259e-08            3,515625e-08  -7,7105592e-08            
3,59375e-08  -7,7969645e-08            3,59375e-08  -7,6939057e-08            
3,671875e-08  -7,7841672e-08            3,671875e-08  -7,6806973e-08            
3,75e-08  -7,7699323e-08            3,75e-08  -7,6663165e-08            
3,828125e-08  -7,7567642e-08            3,828125e-08  -7,6525856e-08            
3,90625e-08  -7,7414723e-08            3,90625e-08  -7,639238e-08            
3,984375e-08  -7,7274915e-08            3,984375e-08  -7,6252804e-08            
4,0625e-08  -7,710407e-08            4,0625e-08  -7,6133535e-08            
4,140625e-08  -7,6954879e-08            4,140625e-08  -7,6007555e-08            
4,21875e-08  -7,6805867e-08            4,21875e-08  -7,5900025e-08            
4,296875e-08  -7,6682714e-08            4,296875e-08  -7,5796062e-08            
4,375e-08  -7,6532971e-08            4,375e-08  -7,5693939e-08            
4,453125e-08  -7,6396125e-08            4,453125e-08  -7,5595487e-08            
4,53125e-08  -7,6271864e-08            4,53125e-08  -7,5510164e-08            
4,609375e-08  -7,6132475e-08            4,609375e-08  -7,5421547e-08            
4,6875e-08  -7,6012462e-08            4,6875e-08  -7,533213e-08            
4,765625e-08  -7,5885551e-08            4,765625e-08  -7,5239987e-08            
4,84375e-08  -7,5783659e-08            4,84375e-08  -7,5166527e-08            
4,921875e-08  -7,5689087e-08            4,921875e-08  -7,5110823e-08            
5e-08  -7,5576636e-08            5e-08  -7,5058015e-08            
5,078125e-08  -7,5501099e-08            5,078125e-08  -7,5018167e-08            
5,15625e-08  -7,5416024e-08            5,15625e-08  -7,4980026e-08            
5,234375e-08  -7,5328779e-08            5,234375e-08  -7,4940951e-08            
5,3125e-08  -7,5237678e-08            5,3125e-08  -7,4906256e-08            
