Gain 1900             Gain 2500             Gain 3000             
x       y           x       y           x       y           
[m]     [A]         [m]     [A]         [m]     [A]         
0  6,287218e-10            0  8,6699375e-10            0  1,1771001e-09            
2,03125e-08  1,4073897e-09            2,03125e-08  1,1698833e-09            2,03125e-08  1,1645817e-09            
2,0703125e-08  1,2710506e-09            2,0703125e-08  1,3615109e-09            2,0703125e-08  1,1337527e-09            
2,109375e-08  1,3776338e-09            2,109375e-08  1,2034332e-09            2,109375e-08  1,1434996e-09            
2,1484375e-08  1,4202676e-09            2,1484375e-08  1,4259027e-09            2,1484375e-08  1,1474013e-09            
2,1875e-08  1,2993015e-09            2,1875e-08  1,1059339e-09            2,1875e-08  1,1206491e-09            
2,2265625e-08  1,3886354e-09            2,2265625e-08  1,2754505e-09            2,2265625e-08  1,2410676e-09            
2,265625e-08  1,7284017e-09            2,265625e-08  1,2100622e-09            2,265625e-08  1,2124315e-09            
2,3046875e-08  1,2121097e-09            2,3046875e-08  1,2947355e-09            2,3046875e-08  1,0919999e-09            
2,34375e-08  1,316984e-09            2,34375e-08  1,224789e-09            2,34375e-08  1,1845336e-09            
2,3828125e-08  1,664246e-09            2,3828125e-08  1,2876692e-09            2,3828125e-08  1,1130417e-09            
2,421875e-08  1,3123623e-09            2,421875e-08  1,3313332e-09            2,421875e-08  1,2373178e-09            
2,4609375e-08  1,2911154e-09            2,4609375e-08  1,1657183e-09            2,4609375e-08  1,1132195e-09            
2,5e-08  1,2496598e-09            2,5e-08  1,3791882e-09            2,5e-08  1,0963544e-09            
2,5390625e-08  1,3385345e-09            2,5390625e-08  1,1766525e-09            2,5390625e-08  1,1179243e-09            
2,578125e-08  1,1986285e-09            2,578125e-08  1,1866823e-09            2,578125e-08  1,040434e-09            
2,6171875e-08  1,1436878e-09            2,6171875e-08  1,1640367e-09            2,6171875e-08  1,0907102e-09            
2,65625e-08  1,280917e-09            2,65625e-08  1,1401987e-09            2,65625e-08  9,7566462e-10            
2,6953125e-08  1,3105963e-09            2,6953125e-08  1,1726911e-09            2,6953125e-08  9,9767568e-10            
2,734375e-08  1,2514257e-09            2,734375e-08  1,0789145e-09            2,734375e-08  1,0850932e-09            
2,7734375e-08  1,217192e-09            2,7734375e-08  1,1977462e-09            2,7734375e-08  9,8365213e-10            
2,8125e-08  1,3220171e-09            2,8125e-08  1,2234642e-09            2,8125e-08  9,9420742e-10            
2,8515625e-08  1,2466664e-09            2,8515625e-08  1,2811907e-09            2,8515625e-08  1,1095722e-09            
2,890625e-08  9,8338224e-10            2,890625e-08  1,088542e-09            2,890625e-08  9,8514557e-10            
2,9296875e-08  9,1483317e-10            2,9296875e-08  1,1850149e-09            2,9296875e-08  1,018227e-09            
2,96875e-08  1,0199034e-09            2,96875e-08  1,0892518e-09            2,96875e-08  9,2407538e-10            
3,0078125e-08  6,0213829e-10            3,0078125e-08  9,5760709e-10            3,0078125e-08  9,8417373e-10            
3,046875e-08  5,1734302e-10            3,046875e-08  8,4123547e-10            3,046875e-08  9,3186826e-10            
3,0859375e-08  6,2282977e-10            3,0859375e-08  8,5086952e-10            3,0859375e-08  8,7606599e-10            
3,125e-08  7,9351023e-10            3,125e-08  7,4011096e-10            3,125e-08  8,8719868e-10            
3,1640625e-08  8,9081875e-10            3,1640625e-08  6,7414264e-10            3,1640625e-08  9,9637557e-10            
3,203125e-08  8,9181783e-10            3,203125e-08  9,455856e-10            3,203125e-08  7,042009e-10            
3,2421875e-08  8,5711447e-10            3,2421875e-08  9,8921198e-10            3,2421875e-08  9,9432679e-10            
3,28125e-08  9,9074176e-10            3,28125e-08  8,8785262e-10            3,28125e-08  8,4850415e-10            
3,3203125e-08  8,0512819e-10            3,3203125e-08  9,2476047e-10            3,3203125e-08  9,3671319e-10            
3,359375e-08  8,4500345e-10            3,359375e-08  8,5700158e-10            3,359375e-08  9,1787455e-10            
3,3984375e-08  8,060611e-10            3,3984375e-08  1,0424841e-09            3,3984375e-08  9,2352004e-10            
3,4375e-08  8,6189192e-10            3,4375e-08  8,6021423e-10            3,4375e-08  9,4045393e-10            
