0,1 s             0,2 s             
x       y           x       y           
[m]     [A]         [m]     [A]         
0  9,1409133e-10            0  9,6282108e-10            
7,8084668e-10  8,0525698e-10            7,8084668e-10  9,2713649e-10            
1,5616934e-09  7,8421919e-10            1,5616934e-09  9,0033688e-10            
2,34254e-09  7,7182037e-10            2,34254e-09  9,257856e-10            
3,1233867e-09  8,0810525e-10            3,1233867e-09  9,5344344e-10            
3,9042334e-09  8,3025734e-10            3,9042334e-09  9,6869627e-10            
4,6850801e-09  8,6680047e-10            4,6850801e-09  9,7538396e-10            
5,4659267e-09  8,9473612e-10            5,4659267e-09  9,4013771e-10            
6,2467734e-09  9,0598398e-10            6,2467734e-09  9,3724729e-10            
7,0276201e-09  8,5502997e-10            7,0276201e-09  9,4346226e-10            
7,8084668e-09  8,1295758e-10            7,8084668e-09  9,416989e-10            
8,5893134e-09  7,9500874e-10            8,5893134e-09  9,3426629e-10            
9,3701601e-09  7,9982374e-10            9,3701601e-09  9,4462289e-10            
1,0151007e-08  7,8744382e-10            1,0151007e-08  9,2709229e-10            
1,0931853e-08  7,4017751e-10            1,0931853e-08  8,9454853e-10            
1,17127e-08  7,4948848e-10            1,17127e-08  9,0820769e-10            
1,2493547e-08  7,2733661e-10            1,2493547e-08  9,3088549e-10            
1,3274394e-08  7,0581633e-10            1,3274394e-08  9,5248846e-10            
1,405524e-08  7,0641208e-10            1,405524e-08  9,3630223e-10            
1,4836087e-08  6,8354639e-10            1,4836087e-08  8,8937386e-10            
1,5616934e-08  6,346999e-10            1,5616934e-08  8,6048393e-10            
1,639778e-08  6,6289523e-10            1,639778e-08  8,7797916e-10            
1,7178627e-08  6,5484362e-10            1,7178627e-08  8,6208173e-10            
1,7959474e-08  5,6521072e-10            1,7959474e-08  8,3591633e-10            
1,874032e-08  5,3239605e-10            1,874032e-08  8,4366327e-10            
1,9521167e-08  5,1191926e-10            1,9521167e-08  8,498371e-10            
2,0302014e-08  4,882688e-10            2,0302014e-08  8,4623121e-10            
2,108286e-08  4,4116971e-10            2,108286e-08  8,7757454e-10            
2,1863707e-08  3,9174244e-10            2,1863707e-08  8,1709813e-10            
2,2644554e-08  3,6531961e-10            2,2644554e-08  7,3007045e-10            
2,34254e-08  3,588824e-10            2,34254e-08  8,2197948e-10            
2,4206247e-08  3,4546458e-10            2,4206247e-08  8,189005e-10            
2,4987094e-08  2,8667403e-10            2,4987094e-08  7,7606489e-10            
2,576794e-08  1,9704949e-10            2,576794e-08  7,7401746e-10            
2,6548787e-08  1,2884464e-10            2,6548787e-08  7,4459071e-10            
2,7329634e-08  8,8691162e-11            2,7329634e-08  6,6857253e-10            
2,811048e-08  1,5294678e-10            2,811048e-08  6,7829e-10            
2,8891327e-08  8,6535741e-10            2,8891327e-08  8,1659645e-10            
2,9672174e-08  1,6352781e-09            2,9672174e-08  9,172879e-10            
3,045302e-08  1,5595748e-09            3,045302e-08  1,0810268e-09            
3,1233867e-08  1,3899612e-09            3,1233867e-08  1,1513119e-09            
3,2014714e-08  1,4274944e-09            3,2014714e-08  1,005186e-09            
3,279556e-08  1,4409379e-09            3,279556e-08  1,0306361e-09            
3,3576407e-08  1,3946151e-09            3,3576407e-08  1,0886857e-09            
3,4357254e-08  1,4257798e-09            3,4357254e-08  1,0934707e-09            
3,51381e-08  1,4696455e-09            3,51381e-08  1,0359157e-09            
3,5918947e-08  1,4166244e-09            3,5918947e-08  1,0890332e-09            
3,6699794e-08  1,3461911e-09            3,6699794e-08  1,0783359e-09            
3,748064e-08  1,4398992e-09            3,748064e-08  1,0492081e-09            
3,8261487e-08  1,4921165e-09            3,8261487e-08  1,1757478e-09            
3,9042334e-08  1,3641552e-09            3,9042334e-08  1,1863827e-09            
3,9823181e-08  1,4040875e-09            3,9823181e-08  1,1413053e-09            
4,0604027e-08  1,4568195e-09            4,0604027e-08  1,1438269e-09            
4,1384874e-08  1,4634547e-09            4,1384874e-08  1,1671937e-09            
4,2165721e-08  1,5012841e-09            4,2165721e-08  1,167267e-09            
4,2946567e-08  1,5018685e-09            4,2946567e-08  1,1866562e-09            
4,3727414e-08  1,5332278e-09            4,3727414e-08  1,2130252e-09            
4,4508261e-08  1,5380249e-09            4,4508261e-08  1,2279493e-09            
4,5289107e-08  1,5526901e-09            4,5289107e-08  1,1704312e-09            
4,6069954e-08  1,6312842e-09            4,6069954e-08  1,1341445e-09            
4,6850801e-08  1,7101346e-09            4,6850801e-08  1,248189e-09            
4,7631647e-08  1,73429e-09            4,7631647e-08  1,3118479e-09            
4,8412494e-08  1,6693418e-09            4,8412494e-08  1,2768707e-09            
4,9193341e-08  1,5962519e-09            4,9193341e-08  1,1935175e-09            
4,9974187e-08  1,527968e-09            4,9974187e-08  1,1533316e-09            
5,0755034e-08  1,4999395e-09            5,0755034e-08  1,1746155e-09            
5,1535881e-08  1,4436742e-09            5,1535881e-08  1,1906466e-09            
5,2316727e-08  1,5040463e-09            5,2316727e-08  1,2412138e-09            
5,3097574e-08  1,6432875e-09            5,3097574e-08  1,2367919e-09            
5,3878421e-08  1,6212976e-09            5,3878421e-08  1,2161709e-09            
