#time in s	Single 0	Single 1	Coincidence 01	
58	0	0	0	
59	0	0	0	
60	0	0	0	
61	0	0	0	
62	0	0	0	
63	0	0	0	
64	0	0	0	
65	0	0	0	
66	0	0	0	
67	0	0	0	
68	0	0	0	
69	0	0	0	
70	0	0	0	
71	0	0	0	
72	0	0	0	
73	0	0	0	
74	0	0	0	
75	0	0	0	
76	0	0	0	
77	0	0	0	
78	0	0	0	
79	0	0	0	
80	0	0	0	
81	0	0	0	
82	0	0	0	
83	0	0	0	
84	0	0	0	
85	0	0	0	
86	0	0	0	
87	0	0	0	
88	0	0	0	
89	0	0	0	
90	0	0	0	
91	0	0	0	
92	0	0	0	
93	0	0	0	
94	0	0	0	
95	0	0	0	
96	0	0	0	
97	0	0	0	
98	0	0	0	
99	0	0	0	
100	35199	20105	862	
101	35188	19936	832	
102	35462	19951	853	
103	35610	20210	830	
104	35476	20192	826	
105	35770	20152	865	
106	35457	20085	857	
107	35632	20132	827	
108	35455	20113	836	
109	35571	20055	843	
110	35804	20206	889	
111	35575	20125	887	
112	35905	19977	859	
113	35709	20298	824	
114	35848	20144	867	
115	36163	20097	862	
116	35754	20285	862	
117	35757	20348	864	
118	36051	20271	839	
119	35428	20189	862	
120	35627	20141	822	
121	35904	19981	822	
122	35423	20239	837	
123	36135	20023	880	
124	35703	20171	802	
125	35737	20102	824	
126	35672	20123	806	
127	35619	20005	843	
128	35696	20114	849	
129	35782	19702	870	
130	35758	19894	807	
131	35612	19886	878	
132	35734	19753	865	
133	35612	19798	838	
134	35635	20139	818	
135	35621	19682	857	
136	35593	19768	783	
137	35406	19553	821	
138	35426	19626	851	
139	35350	19896	867	
140	35086	19549	844	
141	35101	19537	838	
142	35333	19559	797	
143	35238	19844	817	
144	35152	19543	814	
145	34852	19512	869	
146	35156	19495	820	
147	34881	19704	855	
148	35038	19109	809	
149	35066	19578	791	
150	34973	19475	830	
151	34774	19531	801	
152	35038	19506	844	
153	35319	19505	804	
154	34787	19410	834	
155	34800	19687	829	
156	35046	19515	820	
157	35240	19853	874	
